tierC-000012	never	0
tierC-000025	flip	1
tierC-000028	flip	1
tierC-000031	flip	0
tierC-000043	never	0
tierC-000045	flip	1
tierC-000046	flip	0
tierC-000055	flip	0
tierC-000065	flip	0
tierC-000076	flip	0
tierC-000089	flip	1
tierC-000104	flip	1
tierC-000106	flip	1
tierC-000111	never	0
tierC-000113	flip	1
tierC-000128	flip	0
tierC-000143	flip	1
tierC-000144	flip	0
tierC-000147	never	0
tierC-000152	never	0
tierC-000154	flip	0
tierC-000160	flip	0
tierC-000168	never	0
tierC-000172	flip	1
tierC-000188	never	0
tierC-000190	never	0
tierC-000196	never	0
tierC-000197	never	0
tierC-000204	never	0
tierC-000206	never	0
tierC-000209	flip	1
tierC-000211	never	0
tierC-000214	flip	1
tierC-000231	flip	0
tierC-000241	flip	1
tierC-000258	flip	0
tierC-000262	never	0
tierC-000270	flip	1
tierC-000282	never	0
tierC-000296	flip	0
tierC-000302	flip	1
tierC-000308	flip	0
tierC-000309	flip	0
tierC-000310	flip	0
tierC-000320	flip	1
tierC-000333	never	0
tierC-000337	flip	0
tierC-000340	never	0
tierC-000349	flip	1
tierC-000351	never	0
tierC-000356	flip	1
